length,number_of_partitions,optimal_weight,executions,indices_skipped
100,100,99,85461,81189
150,100,155,261033,279342
150,150,150,283952,278523
200,100,274,470305,691295
200,150,200,648652,662548
200,200,198,634192,699108
250,100,372,791894,1238431
250,150,294,1111370,1321055
250,200,250,1128893,1453132
250,250,250,1224298,1379827
300,100,550,981903,2164647
300,150,386,1506259,2419891
300,200,300,1929934,2398316
300,250,299,2186078,2291772
300,300,299,2128701,2371249
350,100,779,1384047,3126228
350,150,533,2050467,3741908
350,200,430,2476725,4095250
350,250,350,3028923,3945152
350,300,350,3349539,3774136
350,350,350,3299336,3846439
400,100,922,1657995,4463505
400,150,644,2635409,5395691
400,200,547,3536917,5776283
400,250,449,3998755,6094045
400,300,397,4537400,5957500
400,350,398,4974260,5670240
400,400,400,5062366,5604234
450,100,1201,1913674,6066551
450,150,868,3532386,7109939
450,200,666,4586903,7965022
450,250,544,5551057,8282968
450,300,448,5806095,8807530
450,350,450,6885371,8130354
450,400,449,7143135,8022190
450,450,450,6652370,8535055
500,100,1412,2132809,7953641
500,150,1006,4084063,9541987
500,200,797,5195443,11092707
500,250,708,7062389,11135361
500,300,599,8032793,11447057
500,350,500,8444754,11814696
500,400,500,8692627,11968923
500,450,500,8364026,12447124
500,500,496,9491854,11341396
550,100,1756,2520379,9919796
550,150,1241,4743351,12238924
550,200,941,6312085,14209790
550,250,834,7650930,15533045
550,300,695,10418960,14674615
550,350,595,11384045,14991630
550,400,549,11537542,15617733
550,450,550,11874756,15682619
550,500,550,12780686,14926289
550,550,550,12688860,15040215
600,100,1951,2920573,12120827
600,150,1452,5093853,15617147
600,200,1065,8320698,16932402
600,250,913,9916363,18876337
600,300,774,12538502,18916298
600,350,683,14051998,19312402
600,400,600,13705784,20940716
600,450,598,14377087,21049013
600,500,599,16183266,19644934
600,550,600,15913417,20064383
600,600,600,16912284,19087616
650,100,2305,3176204,14713921
650,150,1640,5930169,18882056
650,200,1273,8616878,21864947
650,250,1072,11104271,23919654
650,300,920,14145235,24418290
650,350,831,16646242,24579383
650,400,698,18316305,24818920
650,450,649,17784793,26632532
650,500,650,20006133,25190792
650,550,650,19855106,25743919
650,600,650,20712034,25036591
650,650,650,20367512,25403213
700,100,2695,3575647,17410703
700,150,1840,6343252,22942698
700,200,1476,9591624,26616426
700,250,1201,13060859,28816791
700,300,1069,15768372,30651378
700,350,934,17005898,32953452
700,400,816,21453978,31167472
700,450,709,21015212,33515838
700,500,699,24720705,31092445
700,550,700,24831824,31760926
700,600,698,24230978,32763872
700,650,697,24312798,32831652
700,700,698,22942232,34224318
750,100,3174,3981470,20348605
750,150,2119,7517106,26615069
750,200,1585,10132123,32299652
750,250,1344,15113828,34240047
750,300,1158,18907408,36116067
750,350,1050,22827975,36737600
750,400,944,24015347,39089828
750,450,883,26758635,39008640
750,500,750,26424506,41252369
750,550,750,24842625,44116350
750,600,750,28958191,40780384
750,650,749,30293133,39847542
750,700,750,31062940,39227335
750,750,749,28964254,41348121
800,100,3464,4593124,23328176
800,150,2425,8089392,31261508
800,200,1842,11846973,37306027
800,250,1570,16102263,41350337
800,300,1335,19042044,45332656
800,350,1187,23306179,46738121
800,400,1035,25421557,49164843
800,450,993,29317587,48808413
800,500,857,28341546,52446554
800,550,800,29205024,53492676
800,600,799,36507946,47471854
800,650,799,37627047,47132353
800,700,800,37330586,47830914
800,750,800,38019255,47291845
800,800,800,36950529,48382671
850,100,3759,4883857,26876168
850,150,2686,9208353,35733772
850,200,2152,13250730,43120995
850,250,1717,17090814,49083011
850,300,1489,23606082,50867343
850,350,1291,28151430,53244095
850,400,1218,28867500,58197625
850,450,1078,35371824,56235401
850,500,946,38742746,56404079
850,550,861,36821964,60986961
850,600,844,40425513,59293012
850,650,849,43225174,57775451
850,700,849,44862577,56917648
850,750,850,45449460,56732865
850,800,850,41295413,61036512
850,850,850,46064215,56289810
900,100,4421,5247311,30598939
900,150,3004,9942132,40963718
900,200,2345,13471121,50616829
900,250,1888,18165423,57352127
900,300,1698,24975008,60344642
900,350,1471,28730318,64888932
900,400,1330,32680233,67861117
900,450,1199,40895524,65315426
